Pedido;SKU;DataSolicitacao;DataExpedicao;Qtd;Status;Transportadora;Episodio;Destino
20019;EPI0028;11/05/2023;13/05/2023;31;Aguardando;TransBrasil;Falta de Estoque;Brasília-005
20020;EPI0355;19/01/2023;19/01/2023;69;Aguardando;VelozLog;Endereçamento Manual;Curitiba-074
20021;EPI0233;25/10/2024;28/10/2024;76;Cancelado;VelozLog;Divergência de Validade;BH-043
20022;EPI0164;22/02/2025;23/02/2025;23;Faturado;LogiExpress;Etiqueta Faltando;Rio-077
20023;EPI0150;27/03/2025;28/03/2025;54;Faturado;VelozLog;Entrada em Quarentena;Brasília-092
20024;EPI0339;24/01/2023;25/01/2023;56;Faturado;LogiExpress;Falta de Estoque;São Paulo-001
20025;EPI0282;11/11/2024;14/11/2024;46;Faturado;TransBrasil;Recebimento Normal;Brasília-083
20026;EPI0113;18/02/2025;20/02/2025;28;Faturado;VelozLog;Inventário com Divergência;Curitiba-095
20027;EPI0431;30/08/2024;31/08/2024;20;Parcial;LogiExpress;Pedido Urgente;Rio-035
20028;EPI0024;13/03/2023;15/03/2023;19;Faturado;TransBrasil;Pedido Parcial;Rio-061
20029;EPI0452;06/05/2025;08/05/2025;26;Faturado;LogiExpress;Devolução por Desistência;Rio-090
20030;EPI0365;25/10/2024;25/10/2024;8;Faturado;TransBrasil;Etiqueta Faltando;São Paulo-002
20031;EPI0172;24/02/2025;25/02/2025;34;Faturado;TransBrasil;Divergência de Validade;São Paulo-004
20032;EPI0143;16/10/2023;18/10/2023;33;Faturado;TransBrasil;Falta de Estoque;Curitiba-098
20033;EPI0006;26/05/2023;28/05/2023;74;Faturado;TransBrasil;Recebimento Parcial;Brasília-010
20034;EPI0225;19/02/2023;20/02/2023;49;Faturado;VelozLog;Embalagem com Etiqueta de Transporte;Brasília-044
20035;EPI0115;07/11/2024;08/11/2024;9;Faturado;TransBrasil;Pedido Parcial;São Paulo-043
20036;EPI0067;22/07/2025;24/07/2025;40;Faturado;VelozLog;Recebimento Normal;Brasília-093
20037;EPI0113;24/11/2023;25/11/2023;38;Aguardando;CargasRápidas;Etiqueta Faltando;São Paulo-065
20038;EPI0432;24/06/2023;26/06/2023;14;Faturado;VelozLog;Pedido Parcial;Brasília-088
20039;EPI0252;29/02/2024;01/03/2024;36;Faturado;TransBrasil;Endereçamento Manual;Rio-032
20040;EPI0465;20/11/2023;21/11/2023;40;Faturado;CargasRápidas;Recebimento Normal;BH-002
20041;EPI0102;20/03/2023;20/03/2023;15;Faturado;CargasRápidas;Endereçamento Manual;Brasília-003
20042;EPI0030;01/12/2024;04/12/2024;28;Faturado;VelozLog;Produto Substituído;BH-003
20043;EPI0322;11/04/2024;13/04/2024;11;Faturado;CargasRápidas;Entrada em Quarentena;BH-040
20044;EPI0001;23/05/2024;26/05/2024;29;Faturado;CargasRápidas;Endereçamento Manual;Curitiba-041
20045;EPI0419;04/01/2024;06/01/2024;32;Aguardando;CargasRápidas;Endereçamento Automático;BH-050
20046;EPI0314;12/08/2023;14/08/2023;19;Aguardando;LogiExpress;Separação Manual;Brasília-016
20047;EPI0438;06/03/2023;06/03/2023;12;Faturado;CargasRápidas;Embalagem com Lacre;São Paulo-051
20048;EPI0023;02/02/2023;05/02/2023;27;Faturado;CargasRápidas;Embalagem com Lacre;São Paulo-099
20049;EPI0008;14/11/2023;17/11/2023;5;Faturado;TransBrasil;Produto Próximo ao Vencimento;Curitiba-088
20050;EPI0423;14/11/2024;14/11/2024;39;Faturado;VelozLog;Endereçamento Manual;Curitiba-097
20051;EPI0167;03/04/2025;06/04/2025;47;Faturado;LogiExpress;Etiqueta Faltando;Curitiba-056
20052;EPI0434;12/05/2023;15/05/2023;18;Faturado;LogiExpress;Pedido Parcial;São Paulo-094
20053;EPI0305;15/01/2025;17/01/2025;11;Faturado;VelozLog;Pedido Parcial;Rio-072
20054;EPI0420;15/03/2023;16/03/2023;32;Faturado;TransBrasil;Produto Próximo ao Vencimento;Rio-026
20055;EPI0123;30/12/2024;02/01/2025;41;Faturado;VelozLog;Inventário Cíclico;São Paulo-027
20056;EPI0063;28/02/2025;01/03/2025;43;Parcial;TransBrasil;Pedido Parcial;Curitiba-043
20057;EPI0291;26/09/2024;27/09/2024;33;Faturado;CargasRápidas;Divergência de Validade;BH-063
20058;EPI0457;19/10/2023;19/10/2023;46;Parcial;LogiExpress;Recebimento Parcial;Curitiba-025
20059;EPI0351;04/05/2023;06/05/2023;82;Faturado;LogiExpress;Produto Próximo ao Vencimento;Rio-052
20060;EPI0058;11/08/2023;11/08/2023;97;Parcial;VelozLog;Endereçamento Manual;Brasília-020
20061;EPI0126;29/07/2024;01/08/2024;18;Faturado;VelozLog;Devolução por Desistência;Rio-046
20062;EPI0370;28/09/2024;28/09/2024;50;Faturado;LogiExpress;Recebimento com Avaria;São Paulo-036
20063;EPI0296;20/07/2025;21/07/2025;30;Faturado;CargasRápidas;Pedido Urgente;BH-033
20064;EPI0087;29/04/2024;30/04/2024;16;Faturado;VelozLog;Falta de Estoque;Rio-049
20065;EPI0313;22/05/2023;22/05/2023;32;Faturado;VelozLog;Endereçamento Automático;BH-094
20066;EPI0127;06/05/2023;08/05/2023;26;Faturado;LogiExpress;Separação com Erro de SKU;Curitiba-065
20067;EPI0086;28/03/2025;31/03/2025;66;Faturado;LogiExpress;Inventário com Divergência;Curitiba-073
20068;EPI0345;29/05/2025;31/05/2025;58;Faturado;VelozLog;Devolução por Avaria;Rio-068
20069;EPI0112;25/02/2024;26/02/2024;32;Cancelado;CargasRápidas;Produto Próximo ao Vencimento;BH-033
20070;EPI0036;11/03/2024;14/03/2024;10;Faturado;CargasRápidas;Devolução por Troca;Rio-042
20071;EPI0203;01/11/2023;02/11/2023;45;Faturado;CargasRápidas;Falta de Estoque;BH-082
20072;EPI0261;23/06/2025;23/06/2025;52;Faturado;CargasRápidas;Devolução por Troca;Curitiba-007
20073;EPI0373;14/05/2024;17/05/2024;35;Faturado;CargasRápidas;Endereçamento Automático;Curitiba-084
20074;EPI0291;10/11/2024;13/11/2024;58;Faturado;LogiExpress;Devolução por Desistência;São Paulo-044
20075;EPI0443;26/05/2023;26/05/2023;84;Faturado;CargasRápidas;Recebimento Parcial;Curitiba-003
20076;EPI0453;19/03/2024;22/03/2024;24;Faturado;CargasRápidas;Recebimento Normal;BH-083
20077;EPI0125;08/05/2024;10/05/2024;52;Faturado;TransBrasil;Divergência de Quantidade;Curitiba-044
20078;EPI0202;06/07/2025;09/07/2025;21;Faturado;CargasRápidas;Pedido Cancelado;Curitiba-032
20079;EPI0056;27/12/2023;29/12/2023;22;Faturado;LogiExpress;Inventário Cíclico;Brasília-004
20080;EPI0070;27/08/2023;29/08/2023;22;Faturado;CargasRápidas;Entrada em Quarentena;Rio-013
20081;EPI0149;07/04/2023;10/04/2023;52;Faturado;LogiExpress;Entrada em Quarentena;São Paulo-024
20082;EPI0285;24/09/2023;25/09/2023;20;Faturado;VelozLog;Endereçamento Manual;São Paulo-035
20083;EPI0259;06/08/2023;08/08/2023;43;Faturado;CargasRápidas;Divergência de Validade;São Paulo-043
20084;EPI0376;02/02/2024;02/02/2024;30;Aguardando;CargasRápidas;Etiqueta Faltando;Rio-071
20085;EPI0403;24/07/2023;24/07/2023;32;Faturado;VelozLog;Produto Vencido;Rio-075
20086;EPI0206;22/01/2023;22/01/2023;28;Faturado;CargasRápidas;Inventário com Divergência;Curitiba-051
20087;EPI0192;17/04/2024;18/04/2024;15;Faturado;TransBrasil;Pedido Parcial;Rio-068
20088;EPI0305;01/09/2024;01/09/2024;36;Faturado;VelozLog;Recebimento com Avaria;São Paulo-074
20089;EPI0397;19/04/2025;21/04/2025;50;Faturado;LogiExpress;Produto Substituído;Rio-073
20090;EPI0020;29/01/2025;29/01/2025;38;Faturado;TransBrasil;Produto Vencido;São Paulo-077
20091;EPI0204;27/05/2025;27/05/2025;8;Faturado;VelozLog;Devolução por Troca;Rio-001
20092;EPI0171;16/01/2023;18/01/2023;8;Cancelado;CargasRápidas;Inventário Cíclico;São Paulo-036
20093;EPI0077;21/07/2024;23/07/2024;7;Faturado;VelozLog;Etiqueta Faltando;Brasília-080
20094;EPI0147;15/08/2023;16/08/2023;30;Faturado;TransBrasil;Recebimento Normal;Brasília-054
20095;EPI0259;29/02/2024;29/02/2024;21;Faturado;LogiExpress;Produto Substituído;Curitiba-080
20096;EPI0261;06/06/2024;06/06/2024;53;Aguardando;TransBrasil;Divergência de Validade;Rio-032
20097;EPI0077;19/02/2024;22/02/2024;30;Faturado;TransBrasil;Divergência de Validade;BH-081
20098;EPI0179;20/09/2023;21/09/2023;40;Parcial;VelozLog;Pedido Parcial;Rio-010
20099;EPI0325;24/07/2024;25/07/2024;7;Faturado;CargasRápidas;Etiqueta Faltando;Rio-097
20100;EPI0166;20/02/2024;21/02/2024;23;Faturado;TransBrasil;Pedido Parcial;Rio-071
20101;EPI0154;02/02/2025;04/02/2025;27;Faturado;TransBrasil;Separação Manual;BH-068
20102;EPI0196;07/09/2023;08/09/2023;92;Faturado;VelozLog;Endereçamento Manual;Rio-031
20103;EPI0475;23/09/2024;23/09/2024;41;Aguardando;TransBrasil;Devolução por Troca;São Paulo-093
20104;EPI0117;18/04/2023;21/04/2023;8;Faturado;VelozLog;Embalagem com Etiqueta de Transporte;Rio-047
20105;EPI0264;12/08/2024;15/08/2024;9;Faturado;VelozLog;Pedido Parcial;Rio-093
20106;EPI0109;10/02/2023;12/02/2023;10;Aguardando;TransBrasil;Recebimento Normal;Brasília-097
20107;EPI0003;19/01/2024;20/01/2024;63;Faturado;CargasRápidas;Pedido Cancelado;Curitiba-027
20108;EPI0167;28/07/2023;28/07/2023;59;Faturado;TransBrasil;Recebimento com Avaria;Brasília-061
20109;EPI0031;20/02/2025;21/02/2025;24;Aguardando;CargasRápidas;Recebimento Parcial;BH-055
20110;EPI0153;10/05/2024;10/05/2024;23;Faturado;TransBrasil;Falta de Estoque;São Paulo-033
20111;EPI0037;26/08/2024;29/08/2024;14;Faturado;LogiExpress;Inventário Cíclico;BH-067
20112;EPI0010;23/01/2025;26/01/2025;19;Faturado;TransBrasil;Produto Vencido;Rio-047
20113;EPI0476;12/05/2023;12/05/2023;9;Faturado;TransBrasil;Endereçamento Automático;Rio-087
20114;EPI0047;21/09/2024;24/09/2024;31;Faturado;TransBrasil;Devolução por Desistência;São Paulo-038
20115;EPI0275;15/10/2024;16/10/2024;21;Faturado;CargasRápidas;Devolução por Desistência;Brasília-030
20116;EPI0015;04/02/2025;06/02/2025;27;Parcial;CargasRápidas;Divergência de Quantidade;BH-010
20117;EPI0220;07/05/2024;07/05/2024;21;Faturado;LogiExpress;Inventário com Divergência;Curitiba-076
20118;EPI0365;19/12/2024;22/12/2024;55;Faturado;CargasRápidas;Divergência de Validade;Curitiba-001
20119;EPI0235;10/01/2023;12/01/2023;43;Faturado;VelozLog;Separação Manual;BH-064
20120;EPI0131;25/06/2024;27/06/2024;24;Faturado;LogiExpress;Embalagem com Lacre;Curitiba-005
20121;EPI0375;06/02/2024;08/02/2024;60;Faturado;TransBrasil;Etiqueta Faltando;BH-054
20122;EPI0252;02/08/2023;02/08/2023;62;Faturado;CargasRápidas;Inventário Cíclico;São Paulo-092
20123;EPI0388;17/01/2023;19/01/2023;35;Faturado;VelozLog;Separação com Erro de SKU;Rio-034
20124;EPI0421;17/04/2025;19/04/2025;20;Faturado;TransBrasil;Divergência de Validade;Brasília-096
20125;EPI0172;20/11/2024;21/11/2024;39;Aguardando;VelozLog;Recebimento Parcial;São Paulo-011
20126;EPI0025;01/01/2025;01/01/2025;74;Aguardando;LogiExpress;Divergência de Validade;Curitiba-007
20127;EPI0072;28/04/2025;30/04/2025;13;Faturado;TransBrasil;Inventário com Divergência;São Paulo-008
20128;EPI0303;18/05/2024;20/05/2024;19;Faturado;LogiExpress;Recebimento Normal;São Paulo-050
20129;EPI0441;21/11/2024;23/11/2024;17;Faturado;TransBrasil;Recebimento Parcial;Brasília-013
20130;EPI0422;11/09/2024;11/09/2024;73;Faturado;CargasRápidas;Endereçamento Manual;Curitiba-043
20131;EPI0068;23/04/2024;24/04/2024;29;Faturado;CargasRápidas;Recebimento Parcial;São Paulo-039
20132;EPI0261;25/02/2024;28/02/2024;15;Faturado;TransBrasil;Divergência de Quantidade;BH-034
20133;EPI0236;11/10/2023;12/10/2023;14;Faturado;VelozLog;Recebimento Parcial;Curitiba-017
20134;EPI0066;23/05/2023;25/05/2023;49;Faturado;VelozLog;Pedido Parcial;Rio-048
20135;EPI0270;25/01/2025;28/01/2025;43;Faturado;LogiExpress;Inventário Cíclico;BH-049
20136;EPI0072;06/03/2023;09/03/2023;56;Aguardando;LogiExpress;Produto Substituído;Curitiba-058
20137;EPI0417;14/07/2025;16/07/2025;31;Faturado;LogiExpress;Embalagem com Lacre;São Paulo-090
20138;EPI0044;29/10/2023;01/11/2023;81;Faturado;VelozLog;Devolução por Desistência;Rio-086
20139;EPI0176;24/01/2025;25/01/2025;37;Faturado;CargasRápidas;Endereçamento Manual;BH-049
20140;EPI0473;31/01/2023;01/02/2023;12;Faturado;LogiExpress;Inventário Cíclico;São Paulo-031
20141;EPI0447;13/07/2024;13/07/2024;21;Faturado;LogiExpress;Etiqueta Faltando;Rio-089
20142;EPI0469;10/03/2023;10/03/2023;42;Faturado;CargasRápidas;Divergência de Quantidade;São Paulo-070
20143;EPI0319;06/01/2024;07/01/2024;24;Faturado;VelozLog;Inventário com Divergência;Rio-053
20144;EPI0002;18/08/2024;20/08/2024;15;Faturado;TransBrasil;Pedido Urgente;Rio-020
20145;EPI0244;16/07/2024;19/07/2024;50;Aguardando;TransBrasil;Devolução por Avaria;BH-086
20146;EPI0408;09/03/2024;10/03/2024;88;Faturado;CargasRápidas;Divergência de Quantidade;Brasília-008
20147;EPI0154;07/02/2023;09/02/2023;23;Faturado;VelozLog;Endereçamento Manual;Brasília-065
20148;EPI0290;04/12/2024;04/12/2024;39;Aguardando;LogiExpress;Embalagem com Etiqueta de Transporte;Curitiba-037
20149;EPI0380;21/11/2023;22/11/2023;13;Faturado;VelozLog;Produto Próximo ao Vencimento;São Paulo-040
20150;EPI0342;08/12/2024;10/12/2024;26;Faturado;TransBrasil;Devolução por Avaria;Rio-095
20151;EPI0107;02/06/2025;04/06/2025;35;Faturado;TransBrasil;Falta de Estoque;Curitiba-024
20152;EPI0318;09/09/2024;12/09/2024;38;Aguardando;LogiExpress;Endereçamento Automático;Brasília-057
20153;EPI0014;22/08/2024;23/08/2024;7;Cancelado;LogiExpress;Devolução por Troca;Brasília-090
20154;EPI0306;14/06/2025;14/06/2025;52;Faturado;TransBrasil;Devolução por Avaria;Rio-071
20155;EPI0217;14/05/2023;17/05/2023;69;Faturado;CargasRápidas;Separação Manual;Curitiba-054
20156;EPI0241;16/02/2023;17/02/2023;68;Aguardando;VelozLog;Falta de Estoque;São Paulo-066
20157;EPI0377;26/12/2023;29/12/2023;15;Faturado;VelozLog;Recebimento Normal;Curitiba-066
20158;EPI0396;29/10/2024;30/10/2024;21;Faturado;LogiExpress;Produto Próximo ao Vencimento;Curitiba-029
20159;EPI0167;07/01/2025;07/01/2025;40;Faturado;CargasRápidas;Embalagem com Lacre;Brasília-087
20160;EPI0078;25/02/2025;26/02/2025;32;Faturado;VelozLog;Pedido Urgente;Rio-012
20161;EPI0239;27/10/2023;30/10/2023;13;Faturado;VelozLog;Embalagem com Lacre;Brasília-080
20162;EPI0191;17/07/2023;17/07/2023;35;Faturado;LogiExpress;Devolução por Avaria;São Paulo-045
20163;EPI0073;21/01/2024;22/01/2024;14;Faturado;TransBrasil;Inventário com Divergência;Curitiba-072
20164;EPI0064;25/03/2024;27/03/2024;33;Faturado;VelozLog;Produto Próximo ao Vencimento;São Paulo-073
20165;EPI0062;15/10/2023;17/10/2023;29;Aguardando;LogiExpress;Pedido Cancelado;BH-018
20166;EPI0372;24/04/2024;27/04/2024;76;Faturado;LogiExpress;Pedido Parcial;Rio-094
20167;EPI0065;16/03/2024;19/03/2024;13;Faturado;VelozLog;Embalagem com Etiqueta de Transporte;Brasília-022
20168;EPI0241;20/06/2025;21/06/2025;12;Faturado;TransBrasil;Recebimento com Avaria;Curitiba-060
20169;EPI0078;21/03/2023;24/03/2023;43;Faturado;LogiExpress;Separação com Erro de SKU;São Paulo-032
20170;EPI0485;28/03/2025;30/03/2025;4;Faturado;TransBrasil;Devolução por Troca;São Paulo-008
20171;EPI0008;17/04/2023;18/04/2023;25;Faturado;TransBrasil;Divergência de Quantidade;Rio-016
20172;EPI0068;30/10/2024;02/11/2024;12;Faturado;TransBrasil;Embalagem com Lacre;Rio-043
20173;EPI0118;10/02/2024;11/02/2024;19;Aguardando;VelozLog;Separação Manual;Brasília-029
20174;EPI0461;03/02/2023;06/02/2023;25;Faturado;LogiExpress;Divergência de Quantidade;BH-081
20175;EPI0303;01/06/2023;04/06/2023;17;Cancelado;LogiExpress;Etiqueta Faltando;BH-092
20176;EPI0403;06/06/2024;07/06/2024;13;Faturado;TransBrasil;Endereçamento Manual;Curitiba-068
20177;EPI0257;01/04/2025;01/04/2025;17;Faturado;LogiExpress;Devolução por Desistência;BH-066
20178;EPI0019;08/03/2023;10/03/2023;10;Faturado;LogiExpress;Embalagem com Lacre;Rio-063
20179;EPI0482;18/03/2025;20/03/2025;28;Aguardando;VelozLog;Pedido Cancelado;Brasília-091
20180;EPI0393;03/09/2023;06/09/2023;12;Faturado;LogiExpress;Endereçamento Manual;São Paulo-002
20181;EPI0241;21/01/2023;21/01/2023;13;Aguardando;VelozLog;Embalagem com Etiqueta de Transporte;Curitiba-021
20182;EPI0018;23/09/2023;23/09/2023;46;Faturado;CargasRápidas;Falta de Estoque;Curitiba-088
20183;EPI0348;23/01/2025;24/01/2025;23;Faturado;TransBrasil;Devolução por Avaria;Curitiba-068
20184;EPI0110;16/09/2024;19/09/2024;11;Faturado;VelozLog;Endereçamento Automático;Curitiba-033
20185;EPI0180;16/06/2024;19/06/2024;35;Faturado;CargasRápidas;Divergência de Quantidade;BH-062
20186;EPI0342;26/12/2023;29/12/2023;103;Faturado;TransBrasil;Produto Substituído;Rio-021
20187;EPI0413;17/12/2023;17/12/2023;40;Faturado;LogiExpress;Endereçamento Automático;Rio-053
20188;EPI0403;30/09/2023;01/10/2023;14;Faturado;VelozLog;Inventário Cíclico;Rio-053
20189;EPI0213;27/05/2023;27/05/2023;15;Faturado;VelozLog;Recebimento Parcial;Curitiba-018
20190;EPI0024;08/05/2024;08/05/2024;11;Aguardando;VelozLog;Inventário Cíclico;BH-078
20191;EPI0369;28/06/2023;01/07/2023;20;Faturado;LogiExpress;Devolução por Desistência;São Paulo-069
20192;EPI0439;17/03/2023;19/03/2023;4;Faturado;CargasRápidas;Recebimento Normal;Curitiba-031
20193;EPI0390;16/03/2025;17/03/2025;41;Faturado;VelozLog;Divergência de Quantidade;BH-060
20194;EPI0464;05/12/2023;08/12/2023;26;Aguardando;VelozLog;Separação com Erro de SKU;BH-076
20195;EPI0159;29/11/2024;02/12/2024;42;Aguardando;CargasRápidas;Entrada em Quarentena;BH-089
20196;EPI0270;20/03/2023;21/03/2023;26;Faturado;LogiExpress;Inventário Cíclico;Curitiba-099
20197;EPI0272;28/07/2024;30/07/2024;19;Faturado;TransBrasil;Divergência de Quantidade;Curitiba-044
20198;EPI0318;19/03/2024;21/03/2024;20;Faturado;LogiExpress;Recebimento com Avaria;BH-035
20199;EPI0056;19/03/2023;21/03/2023;30;Faturado;VelozLog;Endereçamento Automático;Brasília-067
20200;EPI0239;22/07/2023;23/07/2023;41;Faturado;CargasRápidas;Divergência de Validade;BH-080
20201;EPI0292;03/02/2024;05/02/2024;16;Faturado;TransBrasil;Entrada em Quarentena;Curitiba-096
20202;EPI0243;25/04/2025;26/04/2025;33;Faturado;VelozLog;Devolução por Troca;Brasília-082
20203;EPI0364;02/02/2023;02/02/2023;12;Faturado;VelozLog;Recebimento com Avaria;Curitiba-073
20204;EPI0373;15/07/2025;17/07/2025;17;Faturado;CargasRápidas;Produto Substituído;BH-030
20205;EPI0432;02/07/2024;05/07/2024;12;Faturado;CargasRápidas;Embalagem com Lacre;Curitiba-012
20206;EPI0037;20/06/2024;23/06/2024;58;Aguardando;LogiExpress;Falta de Estoque;BH-019
20207;EPI0320;03/08/2023;05/08/2023;8;Faturado;VelozLog;Produto Substituído;Curitiba-059
20208;EPI0291;10/03/2025;13/03/2025;51;Aguardando;CargasRápidas;Inventário Cíclico;BH-062
20209;EPI0461;19/02/2023;20/02/2023;34;Faturado;TransBrasil;Produto Substituído;São Paulo-084
20210;EPI0392;04/10/2024;05/10/2024;25;Faturado;LogiExpress;Recebimento com Avaria;Rio-050
20211;EPI0470;27/01/2025;30/01/2025;44;Faturado;LogiExpress;Endereçamento Automático;São Paulo-009
20212;EPI0173;03/01/2023;03/01/2023;11;Faturado;LogiExpress;Pedido Cancelado;São Paulo-007
20213;EPI0010;10/10/2023;11/10/2023;22;Faturado;CargasRápidas;Pedido Parcial;São Paulo-078
20214;EPI0288;01/11/2024;04/11/2024;17;Faturado;VelozLog;Etiqueta Faltando;Brasília-005
20215;EPI0331;09/08/2024;12/08/2024;47;Faturado;VelozLog;Endereçamento Automático;Curitiba-046
20216;EPI0261;26/03/2025;28/03/2025;19;Faturado;LogiExpress;Endereçamento Manual;Curitiba-067
20217;EPI0285;02/10/2023;02/10/2023;52;Faturado;VelozLog;Endereçamento Automático;BH-026
20218;EPI0154;19/03/2025;19/03/2025;18;Cancelado;CargasRápidas;Produto Substituído;Curitiba-079
20219;EPI0265;21/08/2023;21/08/2023;17;Faturado;LogiExpress;Pedido Parcial;Rio-064
20220;EPI0253;03/04/2023;03/04/2023;76;Faturado;CargasRápidas;Pedido Cancelado;Curitiba-018
20221;EPI0095;06/03/2023;06/03/2023;145;Faturado;TransBrasil;Pedido Urgente;Brasília-023
20222;EPI0182;01/12/2023;04/12/2023;28;Faturado;CargasRápidas;Produto Próximo ao Vencimento;Curitiba-080
20223;EPI0216;02/12/2023;05/12/2023;59;Aguardando;LogiExpress;Separação Manual;BH-028
20224;EPI0005;10/02/2025;10/02/2025;31;Faturado;TransBrasil;Produto Substituído;BH-061
20225;EPI0016;19/08/2024;21/08/2024;15;Faturado;LogiExpress;Produto Próximo ao Vencimento;Curitiba-013
20226;EPI0334;08/08/2024;10/08/2024;9;Faturado;VelozLog;Pedido Urgente;BH-066
20227;EPI0050;10/07/2023;10/07/2023;31;Faturado;TransBrasil;Entrada em Quarentena;BH-065
20228;EPI0286;16/11/2024;17/11/2024;22;Faturado;LogiExpress;Embalagem com Lacre;Rio-043
20229;EPI0033;19/10/2023;22/10/2023;15;Faturado;TransBrasil;Embalagem com Etiqueta de Transporte;Rio-032
20230;EPI0001;21/04/2023;22/04/2023;39;Faturado;CargasRápidas;Pedido Urgente;BH-094
20231;EPI0255;19/02/2025;20/02/2025;23;Faturado;TransBrasil;Devolução por Troca;Rio-091
20232;EPI0456;27/12/2023;27/12/2023;23;Faturado;LogiExpress;Recebimento com Avaria;BH-082
20233;EPI0359;18/12/2023;19/12/2023;23;Faturado;CargasRápidas;Recebimento com Avaria;São Paulo-069
20234;EPI0283;01/08/2023;04/08/2023;39;Faturado;VelozLog;Produto Vencido;BH-053
20235;EPI0345;06/03/2025;06/03/2025;40;Faturado;TransBrasil;Recebimento com Avaria;BH-076
20236;EPI0129;11/04/2023;13/04/2023;21;Faturado;CargasRápidas;Recebimento Parcial;Brasília-067
20237;EPI0418;01/07/2024;03/07/2024;19;Faturado;CargasRápidas;Entrada em Quarentena;BH-010
20238;EPI0231;10/03/2024;10/03/2024;23;Faturado;VelozLog;Inventário com Divergência;São Paulo-071
20239;EPI0472;17/04/2023;17/04/2023;24;Faturado;CargasRápidas;Recebimento Normal;São Paulo-087
20240;EPI0158;18/04/2025;20/04/2025;31;Aguardando;VelozLog;Divergência de Validade;Rio-059
20241;EPI0263;26/08/2023;27/08/2023;49;Faturado;VelozLog;Devolução por Desistência;Rio-054
20242;EPI0188;14/05/2023;16/05/2023;32;Faturado;TransBrasil;Etiqueta Faltando;BH-059
20243;EPI0030;14/05/2025;16/05/2025;17;Faturado;VelozLog;Inventário com Divergência;Brasília-073
20244;EPI0161;25/01/2023;27/01/2023;56;Faturado;CargasRápidas;Pedido Urgente;São Paulo-052
20245;EPI0090;30/12/2023;01/01/2024;24;Cancelado;LogiExpress;Recebimento Parcial;Brasília-038
20246;EPI0169;29/03/2023;31/03/2023;12;Faturado;VelozLog;Recebimento Normal;Rio-011
20247;EPI0247;04/12/2023;04/12/2023;15;Faturado;CargasRápidas;Inventário Cíclico;São Paulo-048
20248;EPI0051;03/10/2023;05/10/2023;42;Faturado;VelozLog;Separação com Erro de SKU;BH-027
20249;EPI0467;19/04/2023;22/04/2023;39;Aguardando;VelozLog;Produto Vencido;BH-054
20250;EPI0319;26/08/2024;27/08/2024;63;Faturado;TransBrasil;Pedido Cancelado;BH-076
20251;EPI0168;19/04/2025;20/04/2025;100;Faturado;LogiExpress;Pedido Parcial;BH-011
20252;EPI0083;15/03/2023;15/03/2023;66;Faturado;CargasRápidas;Pedido Urgente;Brasília-022
20253;EPI0099;31/12/2024;02/01/2025;20;Faturado;CargasRápidas;Recebimento com Avaria;BH-009
20254;EPI0397;27/06/2023;28/06/2023;35;Faturado;TransBrasil;Divergência de Validade;Rio-006
20255;EPI0118;17/01/2024;19/01/2024;8;Faturado;CargasRápidas;Entrada em Quarentena;Brasília-046
20256;EPI0265;19/07/2025;19/07/2025;13;Faturado;VelozLog;Inventário com Divergência;Curitiba-059
